time      	close   	Volume
   
2017-08-09	3351.66 	NaN
   
2017-08-10	3428.36 	NaN
   
2017-08-11	3652.80 	NaN
   
2017-08-12	3869.26 	NaN
   
2017-08-13	4061.17 	NaN
   
2017-08-14	4325.20 	NaN
   
2017-08-15	4160.66 	NaN
   
2017-08-16	4369.22 	NaN
   
2017-08-17	4282.99 	NaN
   
2017-08-18	4111.30 	NaN
   
2017-08-19	4145.45 	NaN
   
2017-08-20	4059.47 	NaN
   
2017-08-21	3997.27 	NaN
   
2017-08-22	4093.80 	NaN
   
2017-08-23	4137.43 	NaN
   
2017-08-24	4315.07 	NaN
   
2017-08-25	4369.55 	NaN
   
2017-08-26	4350.17 	NaN
   
2017-08-27	4339.28 	NaN
   
2017-08-28	4383.19 	NaN
   
2017-08-29	4589.49 	NaN
   
2017-08-30	4579.69 	NaN
   
2017-08-31	4737.94 	NaN
   
2017-09-01	4928.40 	NaN
   
2017-09-02	4630.78 	NaN
   
2017-09-03	4621.19 	NaN
   
2017-09-04	4349.56 	NaN
   
2017-09-05	4421.52 	NaN
   
2017-09-06	4618.19 	NaN
   
2017-09-07	4630.59 	NaN
   
2017-09-08	4348.31 	NaN
   
2017-09-09	4327.64 	NaN
   
2017-09-10	4252.04 	NaN
   
2017-09-11	4213.48 	NaN
   
2017-09-12	4166.56 	NaN
   
2017-09-13	3864.47 	NaN
   
2017-09-14	3243.76 	NaN
   
2017-09-15	3722.37 	NaN
   
2017-09-16	3709.30 	NaN
   
2017-09-17	3704.61 	NaN
   
2017-09-18	4097.78 	NaN
   
2017-09-19	3903.33 	NaN
   
2017-09-20	3868.91 	NaN
   
2017-09-21	3618.79 	NaN
   
2017-09-22	3614.74 	NaN
   
2017-09-23	3784.78 	NaN
   
2017-09-24	3668.48 	NaN
   
2017-09-25	3919.57 	NaN
   
2017-09-26	3886.04 	NaN
   
2017-09-27	4204.40 	NaN
   
2017-09-28	4188.06 	NaN
   
2017-09-29	4165.45 	NaN
   
2017-09-30	4334.18 	NaN
   
2017-10-01	4386.12 	NaN
   
2017-10-02	4392.90 	NaN
   
2017-10-03	4308.20 	NaN
   
2017-10-04	4218.06 	NaN
   
2017-10-05	4315.98 	NaN
   
2017-10-06	4362.86 	NaN
   
2017-10-07	4426.33 	NaN
   
2017-10-08	4598.99 	NaN
   
2017-10-09	4764.36 	NaN
   
2017-10-10	4751.00 	NaN
   
2017-10-11	4818.36 	NaN
   
2017-10-12	5438.10 	NaN
   
2017-10-13	5638.67 	NaN
   
2017-10-14	5805.10 	NaN
   
2017-10-15	5687.00 	NaN
   
2017-10-16	5746.99 	NaN
   
2017-10-17	5597.52 	NaN
   
2017-10-18	5576.31 	NaN
   
2017-10-19	5698.25 	NaN
   
2017-10-20	5987.35 	NaN
   
2017-10-21	6023.48 	NaN
   
2017-10-22	5986.65 	NaN
   
2017-10-23	5894.89 	NaN
   
